episode,reward,agent
606,-1,Q-Learning
607,1,CFR
607,-1,Q-Learning
608,-1,CFR
608,-1,Q-Learning
609,-2,CFR
609,-1,Q-Learning
610,-1,CFR
610,-1,Q-Learning
611,1,CFR
611,1,Q-Learning
612,1,CFR
612,1,Q-Learning
613,1,CFR
613,-2,Q-Learning
614,1,CFR
614,1,Q-Learning
615,-1,CFR
615,-2,Q-Learning
616,-1,CFR
616,1,Q-Learning
617,-1,CFR
617,-2,Q-Learning
618,-1,CFR
618,1,Q-Learning
619,1,CFR
619,1,Q-Learning
620,2,CFR
620,1,Q-Learning
621,-1,CFR
621,-2,Q-Learning
622,-1,CFR
622,1,Q-Learning
623,-1,CFR
623,2,Q-Learning
624,-1,CFR
624,-2,Q-Learning
625,1,CFR
625,-1,Q-Learning
626,-1,CFR
626,1,Q-Learning
627,-2,CFR
627,1,Q-Learning
628,-1,CFR
628,1,Q-Learning
629,-1,CFR
629,1,Q-Learning
630,2,CFR
630,1,Q-Learning
631,-1,CFR
631,-1,Q-Learning
632,1,CFR
632,-1,Q-Learning
633,-1,CFR
633,-1,Q-Learning
634,1,CFR
634,1,Q-Learning
635,1,CFR
635,-2,Q-Learning
636,1,CFR
636,-1,Q-Learning
637,-1,CFR
637,1,Q-Learning
638,-2,CFR
638,1,Q-Learning
639,-2,CFR
639,-2,Q-Learning
640,1,CFR
640,1,Q-Learning
641,1,CFR
641,1,Q-Learning
642,-1,CFR
642,1,Q-Learning
643,2,CFR
643,-2,Q-Learning
644,1,CFR
644,-2,Q-Learning
645,-2,CFR
645,1,Q-Learning
646,2,CFR
646,1,Q-Learning
647,1,CFR
647,1,Q-Learning
648,1,CFR
648,1,Q-Learning
649,1,CFR
649,1,Q-Learning
650,-1,CFR
650,2,Q-Learning
651,-1,CFR
651,-1,Q-Learning
652,-1,CFR
652,-1,Q-Learning
653,-1,CFR
653,1,Q-Learning
654,1,CFR
654,1,Q-Learning
655,1,CFR
655,1,Q-Learning
656,-1,CFR
656,1,Q-Learning
657,-1,CFR
657,1,Q-Learning
658,-2,CFR
658,2,Q-Learning
659,-1,CFR
659,1,Q-Learning
660,1,CFR
660,-2,Q-Learning
661,-1,CFR
661,-2,Q-Learning
662,-2,CFR
662,1,Q-Learning
663,-2,CFR
663,1,Q-Learning
664,1,CFR
664,-1,Q-Learning
665,1,CFR
665,-2,Q-Learning
666,1,CFR
666,-1,Q-Learning
667,-1,CFR
667,-2,Q-Learning
668,-2,CFR
668,-1,Q-Learning
669,1,CFR
669,1,Q-Learning
670,-1,CFR
670,1,Q-Learning
671,-1,CFR
671,-1,Q-Learning
672,-1,CFR
672,1,Q-Learning
673,1,CFR
673,2,Q-Learning
674,1,CFR
674,1,Q-Learning
675,2,CFR
675,-1,Q-Learning
676,-1,CFR
676,1,Q-Learning
677,-1,CFR
677,1,Q-Learning
678,1,CFR
678,-1,Q-Learning
679,-1,CFR
679,-1,Q-Learning
680,-1,CFR
680,1,Q-Learning
681,2,CFR
681,-2,Q-Learning
682,-1,CFR
682,-1,Q-Learning
683,-1,CFR
683,-1,Q-Learning
684,-1,CFR
684,1,Q-Learning
685,-1,CFR
685,2,Q-Learning
686,-2,CFR
686,-1,Q-Learning
687,1,CFR
687,1,Q-Learning
688,1,CFR
688,-1,Q-Learning
689,-1,CFR
689,-1,Q-Learning
690,1,CFR
690,1,Q-Learning
691,-2,CFR
691,1,Q-Learning
692,1,CFR
692,1,Q-Learning
693,-1,CFR
693,1,Q-Learning
694,1,CFR
694,1,Q-Learning
695,-2,CFR
695,1,Q-Learning
696,1,CFR
